,,,"Final Project, Chat App (out of 121 replies, 130 students)",,,,,,,,,,,,,,,,,,,,,,
3/16/2026 21:59:25,"Only one, AP computer science priciples",The 12x series,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,maybe 4,"The tool helped me understand schema design in the very beginning during milestone 1. When checking the backlogs we saw what queries we need to do, there was also a list of required columns. This proved to be beneficial when we had to plan our schema.",The most frustrating part was that sometimes the things that we did on the SQL chat app did not pass into our pgadmin. I had to restart my laptop and it somehow ended up working.,I learned about data populating towards the end when we had to populate our database. I had not expected that I would learn about it.,No. I think that having a group was beneficial to the success of my project.,I would tell them to get started on milestones early or at the very least read the instructions early so you know how much work each week will be. I would also say that you should meet with your group as early as you all can because you never know if you need to ask the professor or TA something .
3/16/2026 23:29:32,1,3,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,2,A moment the the tool helped me understand SQL or schema design was during the part when we used parameters to pass the 11 tests in the backend lab; I learned how the user interface coordinates with the columns we code and how to work around our specific schema when it didn't match the parameters used by the app. ,"The most frustrating part was figuring out whether or not to change our database after populating it when we found that some of our columns are not necessary for the project and had constraints that could limit what our database can do. This is because we didn't want to make major changes to the core of our schema after becoming familiar with it, as changing one detail would impact multiple tables and maybe create update or delete anomalies (Ex: using user_id or username for primary key).","I didn't expect to learn about testing the database with random samples of input, as it made the project feel more personalized and applicable to real life. I also didn't expect to learn about the components of a chat bot, which is something I use on a daily basis. ","No; there are times when my teammates and I would struggle with our parts and give each other support, and I liked the team environment that made the project feel less overwhelming. I also enjoyed communicating and working with my team, as well as the positivity and interaction they brought to an online course. ","To follow the steps to the letter from the beginning, as mistakes can pile up and become rooted in your schema that would complicate matters by the end. Also, be a responsible teammate and communicate well with your team, it is much more efficient when everyone is clear on their tasks and understand the entirety of each milestone. "
3/17/2026 0:06:02,2,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,6,The Postgres SQL tool / IDE helped me to see the data structure as well as seeing the data under that structure. Programming in the environment give me first hand experience in understanding database design and programming.,"In the midterm, I was a bit confused between part 1 and part 2. For example, I have defined primary keys / surrogate keys, however in part 2, I was under the impression I can only play with the data elements given, but at the later part, part 2 indicated I can use surrogate keys, but at that point, it was too late to change the design, so I had to struggle with composite key from my design which made the SQL programming more complicated, but overall it was interesting while challenging.","The design choice matters a lot. Once a design is made, it kind of dictated the later steps. In our design, we choose username vs user id as key and that deviated from some of the projects templates so we had to adapt to the requirement using our own design which took a lot of time in our milestones.","It is yes or no to me, by saying yes, I think I could be doing more work at the same time which means being a little more efficient. By saying yes, I appreciate working in a group and learning how others look at the problem.","Design choice can dictate future implementations. Once its set up, it is hard to change down the road and a misstep will make things a whole lot harder. The best thing to do is to create good design upfront to avoid revisions and rework."
3/17/2026 1:39:25,2,3,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,5 hours,"When we used the chat app as a test harness and saw that the app would only work if our tables, keys, constraints, and query outputs matched exactly what the frontend expected. That made SQL feel much more concrete to me.","The most frustrating part was the integration and debugging stage, when our SQL had to match the app exactly. A query could be logically correct in pgAdmin, but still fail in the app if the output columns, aliases, or workflow did not match what the frontend expected.",One thing I didn’t expect to learn through this SQL project was how closely database design connects to data governance.,"I would have preferred to do this project individually because a lot of the work required close attention to detail, and I felt it was harder to maintain consistency when the work was split across multiple people.","Start early and do not treat this project like a normal SQL worksheet. The hardest part is not just writing queries, but making your schema, constraints, and query outputs match the app.
Also, I would say that each milestone requires a different mindset, so do not approach the whole project the same way. For Milestone 1, take the design stage seriously. The project is very clear that good databases start with good design, and if you rush the ERD and constraints, you will end up rewriting tables later. This is the time to really understand cardinality, optionality, keys, and what rules should be enforced by the database.
For Milestone 4, test constantly in both pgAdmin and the app. This was probably the biggest shift in the project, because SQL stops being isolated practice and becomes the actual backend of the app. A query may look correct by itself but still fail if it does not match the app’s expected output exactly."
3/17/2026 3:12:11,0,4,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2-3,"From the last milestone, a moment when the tool helped me was when I was trying to get the latest messages in the right order. My query worked, but the order was backwards. The AI helped me realize I needed a nested query to first get the newest messages, then reorder them. That made SQL ordering make a lot more sense to me.","The most frustrating part was the SQL lab because it wouldn’t save your work when you left the page. That meant I had to keep copying and pasting my queries every time, which got really annoying and broke my focus. It made the process feel more repetitive than it needed to be.",Something I didn’t expect to learn was how important doing things like ERDs at the start really is for setting up a good project. It made everything way easier once we actually started writing SQL. I also didn’t realize how powerful SQL statements are and how much of the app’s functionality they handle behind the scenes.,"No, because my team was great. We didn’t know each other before, so it ended up being one of the only times I got to consistently talk to people from class. It was fun meeting and working with them, and it made the project more enjoyable overall.","I would say that the beginning of the project is really important, so try to do everything as well as you can early on. Also, take the feedback seriously and actually use it, especially since you get chances to resubmit, and don't be afraid to talk to the professor about what the wrote. That early effort and feedback ended up setting us up way better for the rest of the project."
3/17/2026 4:08:36,3,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,12,"One moment that helped me understand SQL better was when we started running queries in pgAdmin and actually seeing the results change after we inserted new rows into the database. It made me realize how the schema design and table relationships affect how queries work. For example, when joining tables, I could see how the foreign keys connected the data and why those relationships were important when retrieving information.","The most frustrating part was debugging SQL queries in pgAdmin when something didn’t work but the error message wasn’t very clear. Sometimes it was something small like a typo in a column name or a join condition that was missing. It could take a while to find the problem, especially when the query looked correct at first.","One thing I didn’t expect to learn was how important database structure is before writing queries. At first I thought SQL was mostly about writing the queries themselves, but this project showed me that if the schema is designed well, the queries become much easier to write and understand.","No, I think doing the project in a group was helpful. Since there were different tasks like designing the schema, writing queries, and documenting everything, it made it easier to divide the work. Also, discussing the schema with teammates helped us catch mistakes and think about better ways to structure the database.",I would tell them to spend time understanding the schema and relationships before jumping into writing SQL queries. Using pgAdmin to test queries and look at the tables helps a lot when trying to understand how the database works. I would also recommend starting early because debugging queries and fixing schema issues can take longer than expected.
3/17/2026 4:34:50,0,3,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,3,It helped me understand how tables should connect using primary keys and foreign keys when we were designing the chat app schema. I think it made it clearer why separating tables helps avoid duplicate data.,"I was a bit confused about the SQL chat backend queries at first because I didn’t know how they worked or how to test them to pass the schema test. After trying a few times, I eventually understood how they worked.",I think that designing the database structure is actually more important than writing the SQL queries. A good schema at the start makes everything else much easier.,"Yes, because it would be more flexible with my timeline and work pace. However, working in a group was still helpful when we are solving problems together.","Start early and make sure everyone on the team understands the schema before writing queries. This will save a lot of time later. It’s also important to stay on the same page, if someone changes a table or column name, the team should cross-check and communicate. Before running anything in the shared SQL team database, make sure it’s correct and let the team know to avoid breaking others’ work."
3/17/2026 7:57:53,2,4,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,"On average, I spent around 2-3 hours on each milestone.","A moment when the tool helped me better understand SQL was when I was trying to visualize how the data would look before it was updated in the database. When running it in pgAdmin, I was able to see the table results in a very clear, structured way. This helped me better understand what my raw code was actually producing, and helped me identify errors much quicker. ","I think the most frustrating part was trying to figure out how to debug SQL errors and trying to get the queries to run successfully in the database. I found it particularly frustrating because sometimes the output box wouldn't tell you what the error was, and if it did, it would be too vague to know exactly what to fix. However, it was manageable and all errors were eventually able to be resolved with trial and error. ","While working on this project, I learned how to apply both my current and learned knowledge on databases to a real application. Initially, I was only expecting to learn the concepts and work with examples in class, not create a whole database based on a real world example.","I don't think I would have preferred to do this project individually, since I personally think working with others on handling more complex errors/projects is more enjoyable and much more efficient when trying to debug and brainstorm. ","Moving forward, my message/advice on how to better engage with the project would be to be proactive with errors you and your group receive. I think it's good to work through them with others in your group, but sometimes you don't learn as much when you subconsciously ""solve"" them. If you wanted to better engage, it would be best to try to individually learn to fix the error and then come together so everyone is learning.   "
3/17/2026 10:04:28,1,4,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Individually it could range anywhere between 2 - 4 hours,"When there were columns we originally included that were unnecessary so we had to recreate our tables. It made me realize I needed to not only think through what was needed to make sure I wasn't missing anything, but to look back at the columns I came up with and cut out anything that isn't.","pgAdmin was very slow, for each line I typed and ran it would lag and this caused a lot of frustration for my team.",The connection between the user version of the app that we see to all of the tables and queries running in the background.,"No, I think it would make it too much of a workload. However, I think at times splitting up the milestones was hard because it was in steps that depended on each other so one person would end up doing majority of the milestone.","Keep track from the beginning of every single change they make to their database and code so they don't have to try to remember it later. Also, to spend a lot of time making their ERD and planning the database so there is less to change later. "
3/17/2026 11:05:45,1,4,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,5,"Using the tool helped me determine which tables and columns to use in my database design. It makes it easy in  a way that I can keep the flow of the database schema, and able to connect the tool with my pgadmin was very helpful to see the table, the user name I assigned is right or not","milestone one and two, deciding and implementing what kind of table structure and table relationships I should use. knowing that the first part is the foundations of the rest of the database it was frustrating not to mess it up and redo it.","Team works, and also I didn't know that database was this sophisticated and deep. I have studied by my one pace before just the general create, insert ,delete , and update database but here the different constraints and its usage, the index, and making the business rule and ERD. it was very great.","I wouldn't have learned a lot from my teams, we had arguments and discussions that helped me to see it differently. so working in teams as on this project is very helpful. And also, it is a lot to handle by just one person.","Attend class properly, ask the right questions, and start working with your teammates as soon as possible.  Don't skip the first one; it is the foundation of everything. Try to understand and minimize your usage of AI. "
3/17/2026 14:26:56,1,3,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,6,"It was when I used the tool to connect users, channels, and messages. At first, I knew the basic idea of users, channels, and messages, but I did not fully understand how they should relate to each other in a database. When I worked through the project, I started to see why foreign keys matter and how a good schema makes queries easier. ","For me, the most frustrating part was debugging SQL. Sometimes the problem was very small, like a missing comma, a wrong column name, or a join that did not work the way I expected.","One thing I learned is that schema design affects everything later, I did not expect it to matter so much at first, and if schema is not clear, writing queries could be much harder.","No. Working in a group was helpful because we could divide the work, do some cross checks, and solve problems faster together.","I think starting everything early is important, this project takes more time than it first seems, especially when testing and debugging, and I would also tell them to really understand their schema before writing too many queries, because that will save a lot of time later."
3/17/2026 15:58:25,1,6,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3,The tool helped me understand how to change the names of variables for readability and to match the csv file in order to populate my database. The tool also helped me visualize my assigned primary keys and how well they worked in the database.,A frustrating part of this tool was being able to see the user's password after the account had already been created because it was hard to keep track of all of them (I did not realize that I should have written them down because I thought they would be stored somewhere visible in the database).,One thing I didn't expect to learn was how to track which users responded to each other the most and the timing between messages in specific channels. ,"No, because when myself or a groupmate were confused we were able to help each other understand the issue. We helped teach each other the content and were able to use our collaboration skills.","I would want them to know that creating separate tabs in a google doc to separate instructions, work, and submission for each milestone is very helpful for organizing each milestone and keeping track of work."
3/17/2026 17:25:39,0,5,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,2,"One moment when the tool really helped me understand SQL and schema design was when I added the reactions feature to the database. At first, I was not sure how to store multiple reactions for each message without duplicating data. By using the ERD tool, I realized I needed to create a new table (message_reactions) and use a composite primary key. This helped me understand how to model a many-to-many relationship between users and messages. It also made me see how foreign keys connect tables and keep the data consistent.","The most frustrating part was deciding how to extend the existing schema without breaking the original design. For example, when adding features like threads and soft-delete, I was unsure whether to create new tables or modify the existing chat_inbox table. It was difficult to balance keeping the schema simple while also supporting new functionality. This process was frustrating because small design decisions could affect many parts of the database, but it also helped me better understand how schema changes impact the whole system.","One thing I learned that I didn’t expect was how important small design decisions are in database schema design. For example, choosing to add a self-referencing foreign key for threads instead of creating a new table made the schema much cleaner and easier to manage. I didn’t realize before that a simple change like this could greatly affect the flexibility and complexity of the whole system. This project helped me understand how thoughtful design can simplify both SQL queries and future features.",yes,"I would tell future students to spend more time planning their schema before writing SQL. It is very easy to jump into coding, but having a clear ERD from the beginning makes everything much easier later. I would also suggest thinking about how new features might be added in the future, because a flexible design can save a lot of time. Finally, testing queries early and often helps catch mistakes and better understand how the database works."
3/17/2026 17:27:34,0,6,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,3,"One moment where the tool really helped me understand SQL and schema design was when I ran into an error saying that a query needed to return a column named “password.” I was confused at first because I knew my query was correctly pulling the password hash from the users table. After tracing the issue through SQL Lab, I realized the problem wasn’t the data itself, but that the app expected the column to be named exactly “password.” Fixing it by using password_hash AS password helped me understand how important it is for queries to match what the application expects, not just what makes sense in the database. It also showed me how SQL can be flexible without needing to change the entire schema. That moment made things click for me in terms of how the database and the app have to work closely together.","Getting my teammates to engage with the project. For one milestone, I was so tired of texting them that I just did a whole milestone myself (milestone 4) and they didn't even thank me or acknowledge it at all.",How naming schemes matter a lot when testing. Often there were bugs in the SQL lab because the names in Lab were different than the ones I made for my own tables.,"Absolutely because the project instructions were structured in a way that better suited an individual rather than a group. The workflow felt like one continuous sequence instead of clearly defined checkpoints, which made it difficult to divide the work evenly. As a result, the task splits weren’t concrete enough, and overall, the project seemed more manageable to complete independently. Also, the async nature of the class prevented me from keeping teammates accountable and responsible for staying engaged.",Speak out early to your professor or TA if your teammates are not contributing or communicating effectively. It is much easier to address issues early on than to try to fix them right before deadlines when the workload is higher and stress is worse. 
3/17/2026 18:11:28,2,5,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,2 hours (3 when we had to fix any issues),One moment that clarified the SQL and Schema design for me was when I used the tool to reason through the difference between storing username directly in the chat inbox table versus storing only user_id and joining later. It helped me see why schemas are built around permanent identifiers and why redundancy creates long-term problems.,"The most frustrating part was debugging SQL lab queries in Milestone 4. The app was rather strict and exact behavior, so even tiny mismatches caused the feature to fail. It wasn't conceptually too demanding but it did feel tedious at times, though I do appreciate the strictness of the lab ensuring that we got things right.","I didn't expect to learn how much insight you can extract from a relatively small dataset just by righting the right SQL Milestone 5 especially showed me how joins, grouping, and timestamps, can reveal patterns in user behavior like response times, shared channels, and activity levels. ","No. I think that students often put too much emphasis on themselves to complete work in academic settings. This is because it's much ""safer"" too simply manage the time on your own and fill out the work accordingly without having to worry about teammate contributions. But I think that when we do enter the industry not working on these communication and collaboration skills is going to do more harm than good because we often look at things solely from an academic ""grade"" perspective and not from the perspective of adopting applicable skills and teamwork. I think it'd be great to keep these projects as a group effort.","I'd tell future students to treat the early milestones very seriously, despite them being the slower ones they are the most important as they set the foundation for the future work you will do in the later milestones. Having a clean and clear schema early makes everything later much easier."
3/17/2026 18:21:38,2,5-6,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Each milestone varied but typically 2-4 hours.,"When we connected our database to the chat app and saw the queries change the app in real time, it really helped me understand SQL better. For instance, when we wrote the query that loads messages into a channel, it made me realize how important the exact column names, joins, and order are. The app wouldn't work if something was off by a little bit. I learned how the schema design and SQL queries work together to run the frontend by seeing the messages show up in the app after I put them in the database.","The most annoying part was when something in the app didn't work but the SQL looked fine. Sometimes the problem was something small, like a column name not matching or a missing constraint, but it would still make the app fail. It might take some time to find out where the problem really was. It was annoying at first, but it also made us think more carefully about how we wrote the queries and designed the tables.","I didn't expect to learn how strict the database schema needs to be for an app to work right. I used to think that databases were mainly for storing data, but this project showed me that they also enforce rules that keep the app running smoothly, like foreign keys and constraints. I also didn't know how important indexing is for getting messages from a channel quickly.","No, I think it was good that we did it together. When you're debugging or designing the schema, SQL can be hard, so it was helpful to have teammates to bounce ideas off of and find mistakes. There were times when someone else saw a problem in the ERD or SQL that I didn't see. It was also easier to test the app with a lot of people sending messages and joining channels when we all worked together.","I would tell future students who are doing this project to take their time learning the schema and ERD before they start writing SQL. At first, it was tempting to just write queries, but it got a lot easier when we made sure our tables, keys, and relationships were all clear. A good schema will save you a lot of time in the future.
Before using the chat app, I would also suggest that you test things out in often. Queries 
Also, I would say to use the app while you are making the database. We learned what the app wanted from the database by posting messages, joining channels, and making users. It made the project feel much more real to see the data move between the app and the database. It helped everything come together."
3/17/2026 18:43:04,1,1,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,2-3,"I most often would learn usually just through the errors I would run into mistakes I had made and be able to think through them, usually the thought process behind why something did work led to some element of redesign of the query or even the layout of the database",Sometimes things on the backend would not work and provide a blank syntax error '' which was really unhelpful,I didnt expect to learn about the UW VPN or how to use it as i had no idea it existed prior to this course.,"Personally, I would probably have preferred to do a slightly reduced version of this project on my own. This is mostly because the nature of the work often felt hard to divide.","I would advice future section team members to each verify each others work independently, as team members may often think they are on the same page despite this not actually being the case, and they arent aware of it."
3/17/2026 18:46:06,2,4,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,3-4,"For our last milestone having to write increasingly difficult queries based off of our inputted data I got to get a lot of practice, especially with window functions and subqueries which I hadn't' been able to do much of.","One of my team members was a bit hard to work with, it was hard to communicate him directions after dividing the work up.","Before this project I didn't realize how strict and exact database design has to be, I saw SQL as just pulling data from tables","No, personally I think it was very helpful to have other teammates primarily for the fact that it saved me a lot of time ",For our last milestone having to write increasingly difficult queries based off of our inputted data I got to get a lot of practiceasdfsadffdsafdsafadsdfsafdsvFor our last milestone having to write increasingly difficult queries based off of our inputted data I got to get a lot of practiceasdfsadffdsafdsafadsdfsafds
3/17/2026 18:56:03,I've only taken one python class back in middle school.,"I took the 12x series, one R class, and I'm also enrolled in cse 160 right now along with info 330",Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,I would say working with my group 3-4 hours ,"I think seeing the tables and your data visualized helped me a lot with understanding SQL. Especially during homework 3, which was the most PgAdmin-heavy assignment at the beginning of the quarter. I actually had a lot of fun with that assignment, playing around with different SQL commands. ",I think the most frustrating part about SQL was definitely when my server would work sometimes or when our database wouldn't update. ,"Something that I learned through this project that I didn't expect to learn was creating ERDs, and later in my INFO 380 class, we were also required to create data flow diagrams for another project, so it was helpful having prior knowledge. ","No, because I really enjoyed working with my specific group on this project, and it was super nice being able to split up the different portions of the work. Even with the projects where we were required to do our own SQL queries, it was nice being able to double-check our work. ",I think the main thing about this SQL project would be understanding the database's initial setup and creating the entity table to define the relationships between each entity and its functions. I think milestone 1 was definitely the most important one in my opinion.
3/17/2026 19:33:05,Zero,2,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,2.5,Using our chat app data to write queries helped me fully understand joins and table relationships in a way that I wasn't able to before.  I think because now I could see how everything connected in a real system that I was interacting with.,"Debugging probably, having small mistakes in joins or grouping that would just break everything, and some of the times errors weren't always clear and we got stuck","Just how much schema design matters, and how good structure can really make queries easier to write/understand","No not at all, working in a group was great because when I didn't understand something I had 2 ""mini-teachers"" in my group that could potentially help me out.","Start early and focus on understanding joins as they're a prevalent topics throughout the project.  Debugging almost always takes longer that expected so plan accordingly. Make sure to get to know your group members, it makes the project much more fun when you're making friends along the way."
3/17/2026 20:04:35,0,5-6,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,2-5 hours,A moment when a tool helped to understand SQL was by letting me run queries and see how tables connect through foreign keys. It showed me how schema design keeps data organized and prevents errors in the database.,The most frustrating part was getting the backend chat queries to work because even small mistakes in joins or column names caused errors and stopped the queries from returning the correct messages.,"I didn’t expect to learn how important small details in the schema are, like column names and relationships, because even small mistakes can cause the whole application to stop working.","I would not have wanted to do this project alone, although the information was straightforward and easy to process. I think having multiple people do it can either show you better ways to do things, and on the parts where they were really tedious, it's nice to have others practicing alongside you. ","I think something that would help them gauge better would be to understand the backend lab part and make sure that it is correct, because sometimes I would be super confused why when I press the join button, it would never work, even though I thought my queries were correct. "
3/17/2026 20:47:06,"2-3 | AP CSP, AP CSA, DATA STRUCTURES","CSE 122, CSE 123",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,2,"The tool helped me understand SQL by helping me run different queries, understanding how different key words were differentiated (because they were in different colors), etc.  Another tool was the error messages which were sometimes helpful because they directly pointed to what the error was. The clear UI of PGAdmin helped me navigate it easier so that I was able to focus more on the SQL rather than navigation of the server.","The most frustrating part was understanding how to coordinate between team members, whether that be per milestone, on PGadmin, or when working on the frontend (adding different users, etc). ","I learned how a backend affects a frontend, which was actually my favorite part of this class. I really enjoyed how I could pull data / insights in PGAdmin from the front end and see how both parts interacted and affected each other. I also learned the different constraints which I did not even know existed in SQL. ",No. I think it was helpful to have other team members who were able to give their input when we were stuck on a problem. ,"Keep a shared document between all team members where you can update the code since only one user can run it in the group's PGAdmin server. Also, keep all milestones in one big document (but in different tabs), so that you can refer back to the milestones when you need to do revisions / when a new milestone builds off the previous one. "
3/17/2026 20:47:34,3,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5-10,When I had to learn how to alter the tables to fit the requirements was one crucial thing that helped me understand how the scheme design and SQL code worked and ran. Understanding how to change the tables that I had previously created to fit the new schema design helped me understand more about the purpose of creating a good schema design and creating good SQL code.,"The most frustrating part for me was getting the ERD right. I feel like the ERD is super subjective and easy to get incorrect, so it was a little frustrating to get correct.",I learned how to distribute tasks between a team and work with people that have different strengths and weaknesses than you.,No. I think the project being group work made it more realistic as a real work-environment project. I also think working in a team teaches you valuable skills that you wouldn't learn by doing alone.I ,I would let them know that starting early makes the project easier instead of waiting till the last day to start. This also allows you to spend time to learn about what you are doing and produce quality work instead of rushing and tanking your grade in the process.
3/17/2026 21:13:35,2,4,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,1-3,The tool helped me to see what was working correctly and what needed fixing. It also helped me to see how one bug affected the database as a whole. It was helpful to be able to go back an forth to test the schemas as well.,It was frustrating in the beginning when I did not know how to use the tool and instructions were not super clear.,I learned how databases are used in working applications and how it looks behind the scenes. I also learned how SQL works in databases.,"No, working with a group allowed us to learn from each other and work together to solve problems. It would have been a lot harder by myself.","Be proactive during assignments, because it helps you learn and understand the most when you are doing it. When visualizing the database, it is also easier to have a notepad out for when you need to make sketches."
3/17/2026 21:29:15,no,cse121 cse160 cse163,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3 hours on each,"When we designed the schema, we used channel_name as the primary key instead of a channel_id. At first we were unsure, but later realized that if a value is unique and does not change, it can be used as a primary key. This helped us understand how to simplify schema design.",The most frustrating part was Milestone 4 because our queries often failed when we ran them. We had to revise them again and again. It was frustrating because even small mistakes could cause errors.,"I used to think SQL was used separately. But this project helped me understand how the database supports the whole app. For example, when a user clicks a button, it is connected to a SQL operation","No, I prefer working in a group. We can discuss problems together and help each other when something is confusing","Start early and test each part as you go instead of waiting until everything is finished. At the beginning, we tested only after finishing everything, and when errors happened, it was hard to find which step caused the problem. Also, working with your teammates to debug or check progress helps a lot, because it is easy to get stuck when working alone"
3/17/2026 21:39:21,0,1,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,~4h per milestone,"When I completed a task using code and SQL, I didn’t get much feedback beyond the charts displayed in the tool. But when I actually built a chatbot and was able to freely create accounts and log in just as I do in my daily life, I was truly impressed, and it made me realize the practical significance of this task.","Maybe I need to understand the purpose of every line of code; besides writing code, I also need to know when to use it and what it’s for.","One thing I didn’t expect to learn from this project was how important users’ emotional experiences are in design. At first, I focused mainly on functionality, like making features work and ensuring accessibility. However, through interviews and feedback, I realized that users also care deeply about feeling confident, independent, and not overwhelmed.","No, because it is too much, and I also could learn a lot from my teammates","Start engaging with real users as early as possible and be open to changing your ideas. Don’t get too attached to your first design—feedback will likely challenge your assumptions. Focus not just on functionality, but also on user experience and emotions. Iteration is key, so keep testing and refining your design throughout the process."
